Title,Recommendations
The Elder Scrolls IV: Shivering Isles,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Destiny: The Taken King', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild']"
Supreme Commander,"['Starcraft II: Wings of Liberty', 'Company of Heroes', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""']"
Tales from the Borderlands: A Telltale Game Series,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Total War: Shogun 2 - Fall of the Samurai,"['The Witcher 3: Wild Hunt', 'Portal 2', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'God of War']"
Startopia,"['The Witcher 3: Wild Hunt', 'Portal 2', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,"['Battlefield 3', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Portal 2']"
Silent Hill,"['The Last of Us', 'Amnesia: The Dark Descent', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""']"
Fallout 2,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Kirby: Canvas Curse,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Burnout Legends,"['Burnout 3: Takedown', 'Grand Theft Auto: Liberty City Stories', 'Crisis Core: Final Fantasy VII', 'Metal Gear Solid: Peace Walker', 'Monster Hunter Freedom Unite']"
Final Fantasy XIV: Heavensward,"['The Witcher 3: Wild Hunt', 'Destiny: The Taken King', 'Portal 2', 'The Elder Scrolls V: Skyrim', 'Guild Wars 2: Heart of Thorns']"
Football Manager 2013,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V', 'Portal 2']"
Out of the Park Baseball 14,"['Out of the Park Baseball 13', 'Starcraft II: Wings of Liberty', 'Super Mega Baseball', 'MLB 13: The Show', 'MLB 08: The Show']"
DiRT Rally,"['Gran Turismo 5', 'Forza Horizon 2', 'Burnout 3: Takedown', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim']"
The Witcher: Enhanced Edition,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Crypt of the NecroDancer: Nintendo Switch Edition,"['Portal 2', 'Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim']"
UFC Undisputed 3,"['""Uncharted 4: A Thiefs End""', 'Super Smash Bros. Brawl', 'Mortal Kombat', 'The Witcher 3: Wild Hunt', 'UFC Undisputed 2010']"
Call of Duty 2,"['""Uncharted 4: A Thiefs End""', 'Call of Duty: Modern Warfare 3', 'Battlefield 3', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V']"
F1 2017,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Portal 2', 'The Elder Scrolls V: Skyrim']"
Astebreed,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'BioShock Infinite']"
Winning Eleven: Pro Evolution Soccer 2007,"['The Witcher 3: Wild Hunt', 'FIFA 14', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Onimusha: Warlords,"['The Witcher 3: Wild Hunt', 'God of War', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Nioh']"
Ground Control,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Last of Us']"
Velocity 2X,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Portal 2', 'Grand Theft Auto V']"
Killer Instinct Season 3,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Valkyria Chronicles,"['The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
Resistance: Fall of Man,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us']"
Boom Blox Bash Party,"['Portal 2', 'Call of Duty: Modern Warfare 3', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Witcher 3: Wild Hunt']"
Rise of the Tomb Raider,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Tomb Raider', 'Tomb Raider: Definitive Edition', 'Rise of the Tomb Raider: 20 Year Celebration']"
Total War: WARHAMMER,"['Rome: Total War', 'The Witcher 3: Wild Hunt', 'Company of Heroes', 'God of War', 'Gears of War 2']"
Might & Magic: Clash of Heroes,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Persona 5', 'Portal 2']"
Resident Evil 5,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Resident Evil 7: biohazard', 'Resident Evil 4', 'Resident Evil HD Remaster']"
Saints Row IV,"['Saints Row: The Third', 'Saints Row 2', 'Grand Theft Auto V', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""']"
Need for Speed: Most Wanted U,"['Super Mario 3D World', 'Super Smash Bros. for Wii U', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V', 'The Witcher 3: Wild Hunt']"
Unavowed,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us', 'BioShock Infinite']"
DmC: Devil May Cry Definitive Edition,"['The Last of Us', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""']"
Mercenaries,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V']"
Final Fantasy X / X-2 HD Remaster,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Final Fantasy XV', 'Final Fantasy IX']"
Black Mesa,"['Half-Life 2', 'Half-Life', 'Portal 2', 'The Orange Box', 'Half-Life 2: Episode One']"
Guitar Hero: Metallica,"['Rock Band 3', 'The Beatles: Rock Band', 'Rock Band', 'Doom', 'The Elder Scrolls V: Skyrim']"
Golden Sun: The Lost Age,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
Steel Beasts,"['Battlefield 3', 'The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite']"
Total Annihilation,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Starcraft II: Wings of Liberty', 'Company of Heroes']"
Monster Hunter 4 Ultimate,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Monster Hunter 3 Ultimate', 'Portal 2']"
Patapon,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Crisis Core: Final Fantasy VII', '""Uncharted 4: A Thiefs End""']"
Sid Meier's Civilization IV: Beyond the Sword,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Sky Force Reloaded,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
The Sims 3,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'The Sims 3: World Adventures']"
Freedom Force vs The 3rd Reich,"['The Witcher 3: Wild Hunt', 'Diablo III', 'Battlefield 3', 'The Elder Scrolls V: Skyrim', 'Batman: Arkham City']"
Fluidity,"['The Witcher 3: Wild Hunt', 'BioShock Infinite', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'BioShock']"
Titanfall,"['Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Halo 4']"
Donkey Kong Country: Tropical Freeze,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'Donkey Kong Country Returns', 'Donkey Kong Country Returns 3D', '""Uncharted 4: A Thiefs End""']"
Picross 3D: Round 2,"['Portal 2', 'The Legend of Zelda: Breath of the Wild', 'Picross 3D', 'The Witness', 'The Legend of Zelda: Skyward Sword']"
Tribes: Ascend,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Team Fortress 2']"
Borderlands 2: Tiny Tina's Assault on Dragon Keep,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V']"
Tony Hawk's Underground,"['Skate', '""Tony Hawks Pro Skater 2""', '""Tony Hawks Pro Skater 3""', 'SSX 3', 'Sunset Overdrive']"
Lunar 2: Eternal Blue Complete,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Persona 5']"
Alundra,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Dragon Quest Builders']"
Minecraft: Switch Edition,"['Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Portal 2', '""Uncharted 4: A Thiefs End""']"
Gears of War 4,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Gears of War 2']"
Guilty Gear Xrd -REVELATOR-,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Super Smash Bros. Brawl', 'The Last of Us']"
Pinball FX 2: Marvel Pinball,"['The Witcher 3: Wild Hunt', 'Pinball FX 2', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'ZEN Pinball 2']"
God of War: Ghost of Sparta,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'BioShock Infinite']"
Trials HD,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Her Story,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Diablo III: Ultimate Evil Edition,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild']"
Punch-Out!!,"['The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Legend of Zelda: Skyward Sword', 'Super Mario Galaxy', 'The Last of Us']"
ESPN College Hoops 2K5,"['Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'Super Smash Bros. Brawl']"
Suikoden III,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V', 'Persona 5']"
Radiant Silvergun,"['The Witcher 3: Wild Hunt', 'BioShock Infinite', 'Portal 2', 'The Witcher 2: Assassins of Kings', 'The Legend of Zelda: Breath of the Wild']"
Starcraft II: Heart of the Swarm,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Portal 2']"
Resident Evil 7: biohazard,"['Resident Evil 4', 'Resident Evil 5', 'Resident Evil HD Remaster', 'The Witcher 3: Wild Hunt', 'The Last of Us']"
LEGO Star Wars II: The Original Trilogy,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'Metroid: Samus Returns']"
Midnight Club II,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V']"
Dungeon Siege,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Star Wars: Knights of the Old Republic II: The Sith Lords,"['The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
Crysis 2,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'Portal 2']"
Crashmo,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite']"
Mario & Luigi: Partners in Time,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite', 'Super Mario 3D World', 'Super Mario Galaxy']"
Mortal Kombat,"['The Witcher 3: Wild Hunt', 'Mortal Kombat X', 'Mortal Kombat Komplete Edition', 'Injustice: Gods Among Us', 'Mortal Kombat: Deception']"
Guitar Hero World Tour,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild']"
Brothers: A Tale of Two Sons,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""']"
SoulCalibur III,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
NHL 12,"['NHL 11', 'Grand Theft Auto V', 'Super Smash Bros. Brawl', 'NHL 10', 'NHL 08']"
Final Fantasy XII: The Zodiac Age,"['Final Fantasy XII', 'Final Fantasy XIII', 'Final Fantasy XV', 'Dark Souls: Prepare to Die Edition', 'Portal 2']"
Max Payne 2: The Fall of Max Payne,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Call of Duty: Modern Warfare 3']"
Homeworld Remastered Collection,"['The Legend of Zelda: Breath of the Wild', 'Homeworld', 'Homeworld 2', 'Sins of a Solar Empire', 'Sins of a Solar Empire: Rebellion']"
Galactic Civilizations II: Dread Lords,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Battlefield 3', 'The Witcher 2: Assassins of Kings', 'Starcraft II: Wings of Liberty']"
Planet Puzzle League,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Portal 2', 'The Legend of Zelda: Skyward Sword']"
Animal Crossing: Wild World,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
DmC: Devil May Cry,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
Medal of Honor Underground,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Call of Duty: Modern Warfare 3', 'Battlefield 3', '""Uncharted 4: A Thiefs End""']"
Dino Crisis 2,"['Horizon Zero Dawn', 'Super Mario Odyssey', 'Crisis Core: Final Fantasy VII', 'Braid', 'NieR: Automata']"
Star Trek: Voyager Elite Force,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Need for Speed: High Stakes,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', 'Gran Turismo 5', 'Assetto Corsa', '""Uncharted 4: A Thiefs End""']"
Street Fighter III: Third Strike Online Edition,"['Street Fighter IV', 'Mortal Kombat', 'Super Smash Bros. Brawl', 'Grand Theft Auto V', 'Super Smash Bros. for Wii U']"
Professor Layton and the Unwound Future,"['The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite', 'The Legend of Zelda: Breath of the Wild']"
We Love Katamari,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Persona 5']"
Worldwide Soccer Manager 2008,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'Portal 2', 'Persona 5', 'The Last of Us']"
Dance Central 2,"['The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Super Smash Bros. Brawl']"
Sly Cooper and the Thievius Raccoonus,"['Persona 5', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Sly 2: Band of Thieves']"
IL-2 Sturmovik: Forgotten Battles,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Geometry Wars: Retro Evolved,"['Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2']"
Fight Night Round 3,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V', 'Halo 3']"
F1 2016,"['Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Portal 2']"
Amplitude,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'The Last of Us']"
Minecraft: PlayStation 3 Edition,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'Portal 2', 'Grand Theft Auto V']"
Sonic Mania,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
The Legend of Zelda: Four Swords Adventures,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Joe Danger,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Portal 2', 'The Last of Us']"
Tales of Symphonia,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Persona 5', 'The Elder Scrolls V: Skyrim']"
Fight Night Champion,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild', 'Battlefield 3']"
NBA Live 2004,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'The Last of Us', '""Uncharted 4: A Thiefs End""']"
Colin McRae Rally 3,"['Gran Turismo 5', 'Starcraft II: Wings of Liberty', 'The Orange Box', '""The Legend of Zelda: Majoras Mask""', 'Star Wars: Knights of the Old Republic']"
Tom Clancy's Rainbow Six 3,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us']"
Unreal Tournament 2003,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Portal 2']"
Age of Wonders II: The Wizard's Throne,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'BioShock Infinite']"
Daytona USA,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V', 'Portal 2']"
Full Throttle,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
Katamari Damacy,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
The Lord of the Rings Online: Shadows of Angmar,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Grand Theft Auto: Vice City Stories,"['Grand Theft Auto V', 'Grand Theft Auto: San Andreas', 'Grand Theft Auto IV', 'Red Dead Redemption', 'Grand Theft Auto: Vice City']"
Pony Island,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Tomb Raider: Definitive Edition,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Tomb Raider']"
"Warhammer 40,000: Dawn of War","['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Tom Clancy's Ghost Recon Advanced Warfighter 2,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us']"
Tales From Space: Mutant Blobs Attack,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'Portal 2']"
Skate,"['The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Portal 2']"
Warhammer Online: Age of Reckoning,"['World of Warcraft', 'WildStar', 'Rift', 'Destiny: The Taken King', 'Destiny 2']"
PlayerUnknown's Battlegrounds,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Advance Wars: Days of Ruin,"['The Elder Scrolls V: Skyrim', 'Portal 2', 'The Witcher 3: Wild Hunt', 'Company of Heroes', 'God of War']"
The Elder Scrolls IV - Knights of the Nine,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Last of Us', 'BioShock Infinite']"
Forza Horizon 2,"['Gran Turismo 5', 'Burnout 3: Takedown', 'Forza Motorsport 6', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V']"
Observer,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Portal 2']"
ZEN Pinball 2,"['Pinball FX 2', 'The Pinball Arcade', 'Pinball Hall of Fame: The Williams Collection', 'The Last of Us', 'Pinball FX 2: Star Wars Pinball']"
Command & Conquer: Red Alert 2 - Yuri's Revenge,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Europa Universalis,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Europa Universalis IV', 'The Legend of Zelda: Breath of the Wild']"
Escape from Monkey Island,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Minecraft', 'BioShock Infinite']"
Robo Recall,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
IL-2 Sturmovik: 1946,"['Grand Theft Auto V', 'Microsoft Flight Simulator 2004: A Century of Flight', 'Project CARS', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""']"
Dance Central 3,"['Portal 2', 'Bloodborne', 'Dance Central 2', 'Dance Central', 'The Witcher 3: Wild Hunt']"
Shatter,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'Grand Theft Auto V', '""Uncharted 4: A Thiefs End""']"
Final Fantasy XIV Online: A Realm Reborn,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Luigi's Mansion: Dark Moon,"['""Luigis Mansion: Dark Moon""', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Guitar Hero III: Legends of Rock,"['Rock Band 3', 'Guitar Hero II', 'The Legend of Zelda: Skyward Sword', 'Grand Theft Auto V', 'The Witcher 3: Wild Hunt']"
Guitar Hero 5,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Persona 5']"
Battlefield 3: Back to Karkand,"['The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'Call of Duty: Modern Warfare 3', 'Portal 2']"
F-Zero: Maximum Velocity,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Portal 2', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V']"
West of Loathing,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
Heroes of the Storm,"['SMITE', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild']"
DiRT 4,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', '""Uncharted 4: A Thiefs End""', 'Persona 5']"
