Title,Recommendations
LittleBigPlanet,"['Grand Theft Auto V', 'The Last of Us', 'The Last of Us Remastered', 'The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt']"
The Legend of Zelda Collector's Edition,"['""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Ocarina of Time']"
Red Dead Redemption,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Gran Turismo 3: A-Spec,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Halo 2,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Halo 4']"
The Legend of Zelda: A Link to the Past,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Ocarina of Time']"
The Legend of Zelda: Majora's Mask,"['The Legend of Zelda: Breath of the Wild', 'The Legend of Zelda: Ocarina of Time', 'The Legend of Zelda: Skyward Sword', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim']"
The Last of Us,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'BioShock Infinite']"
Madden NFL 2003,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'Battlefield 3', 'Portal 2']"
The Last of Us Remastered,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Portal 2,"['Half-Life 2', 'The Orange Box', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""']"
Metal Gear Solid V: The Phantom Pain,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Metal Gear Solid 4: Guns of the Patriots']"
World of Goo,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Portal 2']"
BioShock Infinite,"['The Last of Us', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'BioShock']"
Final Fantasy IX,"['""Uncharted 4: A Thiefs End""', 'Final Fantasy XV', 'The Witcher 3: Wild Hunt', 'Final Fantasy XIII', 'Mass Effect 3']"
Call of Duty: Modern Warfare 2,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
Tony Hawk's Pro Skater 4,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Devil May Cry,"['DmC: Devil May Cry', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Call of Duty 4: Modern Warfare,"['""Uncharted 4: A Thiefs End""', 'Call of Duty: Modern Warfare 3', 'Battlefield 3', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V']"
Madden NFL 2002,"['Battlefield 3', 'Call of Duty: Modern Warfare 3', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""']"
God of War,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
The Legend of Zelda: Ocarina of Time 3D,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Chrono Cross,"['The Last of Us', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Chrono Trigger']"
Madden NFL 2004,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V', '""Uncharted 4: A Thiefs End""']"
Gears of War,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Portal 2', 'Grand Theft Auto V']"
